,gene_ids,feature_is_filtered,feature_name,feature_reference,feature_biotype
ENSG00000162373,ENSG00000162373,False,BEND5,NCBITaxon:9606,gene
ENSG00000123091,ENSG00000123091,False,RNF11,NCBITaxon:9606,gene
ENSG00000134744,ENSG00000134744,False,TUT4,NCBITaxon:9606,gene
ENSG00000182183,ENSG00000182183,False,SHISAL2A,NCBITaxon:9606,gene
ENSG00000174348,ENSG00000174348,False,PODN,NCBITaxon:9606,gene
ENSG00000162383,ENSG00000162383,False,SLC1A7,NCBITaxon:9606,gene
ENSG00000157216,ENSG00000157216,False,SSBP3,NCBITaxon:9606,gene
ENSG00000006555,ENSG00000006555,False,TTC22,NCBITaxon:9606,gene
ENSG00000162398,ENSG00000162398,False,LEXM,NCBITaxon:9606,gene
ENSG00000231090,ENSG00000231090,False,MIR4422HG,NCBITaxon:9606,gene
ENSG00000177606,ENSG00000177606,False,JUN,NCBITaxon:9606,gene
ENSG00000134709,ENSG00000134709,False,HOOK1,NCBITaxon:9606,gene
ENSG00000271200,ENSG00000271200,False,PATJ-DT,NCBITaxon:9606,gene
ENSG00000132849,ENSG00000132849,False,PATJ,NCBITaxon:9606,gene
ENSG00000240563,ENSG00000240563,False,L1TD1,NCBITaxon:9606,gene
ENSG00000142856,ENSG00000142856,False,ITGB3BP,NCBITaxon:9606,gene
ENSG00000162434,ENSG00000162434,False,JAK1,NCBITaxon:9606,gene
ENSG00000116675,ENSG00000116675,False,DNAJC6,NCBITaxon:9606,gene
ENSG00000184588,ENSG00000184588,False,PDE4B,NCBITaxon:9606,gene
ENSG00000162594,ENSG00000162594,False,IL23R,NCBITaxon:9606,gene
ENSG00000081985,ENSG00000081985,False,IL12RB2,NCBITaxon:9606,gene
ENSG00000116717,ENSG00000116717,False,GADD45A,NCBITaxon:9606,gene
ENSG00000024526,ENSG00000024526,False,DEPDC1,NCBITaxon:9606,gene
ENSG00000162620,ENSG00000162620,False,LRRIQ3,NCBITaxon:9606,gene
ENSG00000154027,ENSG00000154027,False,AK5,NCBITaxon:9606,gene
ENSG00000235927,ENSG00000235927,False,NEXN-AS1,NCBITaxon:9606,gene
ENSG00000162614,ENSG00000162614,False,NEXN,NCBITaxon:9606,gene
ENSG00000273338,ENSG00000273338,False,RP11-386I14.4,NCBITaxon:9606,gene
ENSG00000137959,ENSG00000137959,False,IFI44L,NCBITaxon:9606,gene
ENSG00000137965,ENSG00000137965,False,IFI44,NCBITaxon:9606,gene
ENSG00000234184,ENSG00000234184,False,LINC01781,NCBITaxon:9606,gene
ENSG00000233008,ENSG00000233008,False,LINC01725,NCBITaxon:9606,gene
ENSG00000137941,ENSG00000137941,False,TTLL7,NCBITaxon:9606,gene
ENSG00000271576,ENSG00000271576,False,PRKACB-DT,NCBITaxon:9606,gene
ENSG00000142875,ENSG00000142875,False,PRKACB,NCBITaxon:9606,gene
ENSG00000117155,ENSG00000117155,False,SSX2IP,NCBITaxon:9606,gene
ENSG00000162643,ENSG00000162643,False,DNAI3,NCBITaxon:9606,gene
ENSG00000055732,ENSG00000055732,False,MCOLN3,NCBITaxon:9606,gene
ENSG00000097096,ENSG00000097096,False,SYDE2,NCBITaxon:9606,gene
ENSG00000122417,ENSG00000122417,False,ODF2L,NCBITaxon:9606,gene
ENSG00000143013,ENSG00000143013,False,LMO4,NCBITaxon:9606,gene
ENSG00000117228,ENSG00000117228,False,GBP1,NCBITaxon:9606,gene
ENSG00000162645,ENSG00000162645,False,GBP2,NCBITaxon:9606,gene
ENSG00000162654,ENSG00000162654,False,GBP4,NCBITaxon:9606,gene
ENSG00000284734,ENSG00000284734,False,RP4-620F22.3,NCBITaxon:9606,gene
ENSG00000154451,ENSG00000154451,False,GBP5,NCBITaxon:9606,gene
ENSG00000069702,ENSG00000069702,False,TGFBR3,NCBITaxon:9606,gene
ENSG00000172031,ENSG00000172031,False,EPHX4,NCBITaxon:9606,gene
ENSG00000122484,ENSG00000122484,False,RPAP2,NCBITaxon:9606,gene
ENSG00000162676,ENSG00000162676,False,GFI1,NCBITaxon:9606,gene
ENSG00000137942,ENSG00000137942,False,FNBP1L,NCBITaxon:9606,gene
ENSG00000023909,ENSG00000023909,False,GCLM,NCBITaxon:9606,gene
ENSG00000117519,ENSG00000117519,False,CNN3,NCBITaxon:9606,gene
ENSG00000152078,ENSG00000152078,False,TLCD4,NCBITaxon:9606,gene
ENSG00000156876,ENSG00000156876,False,SASS6,NCBITaxon:9606,gene
ENSG00000079335,ENSG00000079335,False,CDC14A,NCBITaxon:9606,gene
ENSG00000170989,ENSG00000170989,False,S1PR1,NCBITaxon:9606,gene
ENSG00000162631,ENSG00000162631,False,NTNG1,NCBITaxon:9606,gene
ENSG00000230489,ENSG00000230489,False,VAV3-AS1,NCBITaxon:9606,gene
ENSG00000181754,ENSG00000181754,False,AMIGO1,NCBITaxon:9606,gene
ENSG00000134202,ENSG00000134202,False,GSTM3,NCBITaxon:9606,gene
ENSG00000184371,ENSG00000184371,False,CSF1,NCBITaxon:9606,gene
ENSG00000121931,ENSG00000121931,False,LRIF1,NCBITaxon:9606,gene
ENSG00000162777,ENSG00000162777,False,DENND2D,NCBITaxon:9606,gene
ENSG00000064886,ENSG00000064886,False,CHI3L2,NCBITaxon:9606,gene
ENSG00000143110,ENSG00000143110,False,C1orf162,NCBITaxon:9606,gene
ENSG00000171385,ENSG00000171385,False,KCND3,NCBITaxon:9606,gene
ENSG00000155366,ENSG00000155366,False,RHOC,NCBITaxon:9606,gene
ENSG00000226419,ENSG00000226419,False,SLC16A1-AS1,NCBITaxon:9606,gene
ENSG00000134242,ENSG00000134242,False,PTPN22,NCBITaxon:9606,gene
ENSG00000175984,ENSG00000175984,False,DENND2C,NCBITaxon:9606,gene
ENSG00000134198,ENSG00000134198,False,TSPAN2,NCBITaxon:9606,gene
ENSG00000116824,ENSG00000116824,False,CD2,NCBITaxon:9606,gene
ENSG00000183508,ENSG00000183508,False,TENT5C,NCBITaxon:9606,gene
ENSG00000134193,ENSG00000134193,False,REG4,NCBITaxon:9606,gene
ENSG00000226067,ENSG00000226067,False,LINC00623,NCBITaxon:9606,gene
ENSG00000237343,ENSG00000237343,False,RP11-763B22.4,NCBITaxon:9606,gene
ENSG00000276216,ENSG00000276216,False,CH17-373J23.1,NCBITaxon:9606,gene
ENSG00000117281,ENSG00000117281,False,CD160,NCBITaxon:9606,gene
ENSG00000265972,ENSG00000265972,False,TXNIP,NCBITaxon:9606,gene
ENSG00000272824,ENSG00000272824,False,RP6-74O6.6,NCBITaxon:9606,gene
ENSG00000236334,ENSG00000236334,False,PPIAL4G,NCBITaxon:9606,gene
ENSG00000270882,ENSG00000270882,False,H4C14,NCBITaxon:9606,gene
ENSG00000184678,ENSG00000184678,False,H2BC21,NCBITaxon:9606,gene
ENSG00000159164,ENSG00000159164,False,SV2A,NCBITaxon:9606,gene
ENSG00000264522,ENSG00000264522,False,OTUD7B,NCBITaxon:9606,gene
ENSG00000023902,ENSG00000023902,False,PLEKHO1,NCBITaxon:9606,gene
ENSG00000118292,ENSG00000118292,False,C1orf54,NCBITaxon:9606,gene
ENSG00000143384,ENSG00000143384,False,MCL1,NCBITaxon:9606,gene
ENSG00000163131,ENSG00000163131,False,CTSS,NCBITaxon:9606,gene
ENSG00000143363,ENSG00000143363,False,PRUNE1,NCBITaxon:9606,gene
ENSG00000143443,ENSG00000143443,False,C1orf56,NCBITaxon:9606,gene
ENSG00000143365,ENSG00000143365,False,RORC,NCBITaxon:9606,gene
ENSG00000159445,ENSG00000159445,False,THEM4,NCBITaxon:9606,gene
ENSG00000197747,ENSG00000197747,False,S100A10,NCBITaxon:9606,gene
ENSG00000163191,ENSG00000163191,False,S100A11,NCBITaxon:9606,gene
ENSG00000163220,ENSG00000163220,False,S100A9,NCBITaxon:9606,gene
ENSG00000163221,ENSG00000163221,False,S100A12,NCBITaxon:9606,gene
ENSG00000143546,ENSG00000143546,False,S100A8,NCBITaxon:9606,gene
ENSG00000197956,ENSG00000197956,False,S100A6,NCBITaxon:9606,gene
ENSG00000196154,ENSG00000196154,False,S100A4,NCBITaxon:9606,gene
ENSG00000177954,ENSG00000177954,False,RPS27,NCBITaxon:9606,gene
ENSG00000143595,ENSG00000143595,False,AQP10,NCBITaxon:9606,gene
ENSG00000143515,ENSG00000143515,False,ATP8B2,NCBITaxon:9606,gene
ENSG00000228013,ENSG00000228013,False,IL6R-AS1,NCBITaxon:9606,gene
ENSG00000163346,ENSG00000163346,False,PBXIP1,NCBITaxon:9606,gene
ENSG00000132698,ENSG00000132698,False,RAB25,NCBITaxon:9606,gene
ENSG00000160789,ENSG00000160789,False,LMNA,NCBITaxon:9606,gene
ENSG00000125462,ENSG00000125462,False,MIR9-1HG,NCBITaxon:9606,gene
ENSG00000160818,ENSG00000160818,False,GPATCH4,NCBITaxon:9606,gene
ENSG00000027869,ENSG00000027869,False,SH2D2A,NCBITaxon:9606,gene
ENSG00000187800,ENSG00000187800,False,PEAR1,NCBITaxon:9606,gene
ENSG00000143297,ENSG00000143297,False,FCRL5,NCBITaxon:9606,gene
ENSG00000160856,ENSG00000160856,False,FCRL3,NCBITaxon:9606,gene
ENSG00000132704,ENSG00000132704,False,FCRL2,NCBITaxon:9606,gene
ENSG00000163534,ENSG00000163534,False,FCRL1,NCBITaxon:9606,gene
ENSG00000158481,ENSG00000158481,False,CD1C,NCBITaxon:9606,gene
ENSG00000158488,ENSG00000158488,False,CD1E,NCBITaxon:9606,gene
ENSG00000163563,ENSG00000163563,False,MNDA,NCBITaxon:9606,gene
ENSG00000163564,ENSG00000163564,False,PYHIN1,NCBITaxon:9606,gene
ENSG00000163568,ENSG00000163568,False,AIM2,NCBITaxon:9606,gene
ENSG00000179639,ENSG00000179639,False,FCER1A,NCBITaxon:9606,gene
ENSG00000181036,ENSG00000181036,False,FCRL6,NCBITaxon:9606,gene
ENSG00000158710,ENSG00000158710,False,TAGLN2,NCBITaxon:9606,gene
ENSG00000162739,ENSG00000162739,False,SLAMF6,NCBITaxon:9606,gene
ENSG00000066294,ENSG00000066294,False,CD84,NCBITaxon:9606,gene
ENSG00000117090,ENSG00000117090,False,SLAMF1,NCBITaxon:9606,gene
ENSG00000026751,ENSG00000026751,False,SLAMF7,NCBITaxon:9606,gene
ENSG00000122224,ENSG00000122224,False,LY9,NCBITaxon:9606,gene
ENSG00000215845,ENSG00000215845,False,TSTD1,NCBITaxon:9606,gene
ENSG00000158869,ENSG00000158869,False,FCER1G,NCBITaxon:9606,gene
ENSG00000143226,ENSG00000143226,False,FCGR2A,NCBITaxon:9606,gene
ENSG00000203747,ENSG00000203747,False,FCGR3A,NCBITaxon:9606,gene
ENSG00000162747,ENSG00000162747,False,FCGR3B,NCBITaxon:9606,gene
ENSG00000072694,ENSG00000072694,False,FCGR2B,NCBITaxon:9606,gene
ENSG00000132185,ENSG00000132185,False,FCRLA,NCBITaxon:9606,gene
ENSG00000198574,ENSG00000198574,False,SH2D1B,NCBITaxon:9606,gene
ENSG00000162733,ENSG00000162733,False,DDR2,NCBITaxon:9606,gene
ENSG00000143228,ENSG00000143228,False,NUF2,NCBITaxon:9606,gene
ENSG00000185630,ENSG00000185630,False,PBX1,NCBITaxon:9606,gene
ENSG00000143167,ENSG00000143167,False,GPA33,NCBITaxon:9606,gene
ENSG00000198821,ENSG00000198821,False,CD247,NCBITaxon:9606,gene
ENSG00000273160,ENSG00000273160,False,RP11-104L21.3,NCBITaxon:9606,gene
ENSG00000143185,ENSG00000143185,False,XCL2,NCBITaxon:9606,gene
ENSG00000143184,ENSG00000143184,False,XCL1,NCBITaxon:9606,gene
ENSG00000198734,ENSG00000198734,False,F5,NCBITaxon:9606,gene
ENSG00000174175,ENSG00000174175,False,SELP,NCBITaxon:9606,gene
ENSG00000188404,ENSG00000188404,False,SELL,NCBITaxon:9606,gene
ENSG00000075945,ENSG00000075945,False,KIFAP3,NCBITaxon:9606,gene
ENSG00000197959,ENSG00000197959,False,DNM3,NCBITaxon:9606,gene
ENSG00000117560,ENSG00000117560,False,FASLG,NCBITaxon:9606,gene
ENSG00000117586,ENSG00000117586,False,TNFSF4,NCBITaxon:9606,gene
ENSG00000227373,ENSG00000227373,False,RABGAP1L-DT,NCBITaxon:9606,gene
ENSG00000152061,ENSG00000152061,False,RABGAP1L,NCBITaxon:9606,gene
ENSG00000116191,ENSG00000116191,False,RALGPS2,NCBITaxon:9606,gene
ENSG00000162783,ENSG00000162783,False,IER5,NCBITaxon:9606,gene
ENSG00000135821,ENSG00000135821,False,GLUL,NCBITaxon:9606,gene
ENSG00000143333,ENSG00000143333,False,RGS16,NCBITaxon:9606,gene
ENSG00000116701,ENSG00000116701,False,NCF2,NCBITaxon:9606,gene
ENSG00000198756,ENSG00000198756,False,COLGALT2,NCBITaxon:9606,gene
ENSG00000116667,ENSG00000116667,False,C1orf21,NCBITaxon:9606,gene
ENSG00000135842,ENSG00000135842,False,NIBAN1,NCBITaxon:9606,gene
ENSG00000116679,ENSG00000116679,False,IVNS1ABP,NCBITaxon:9606,gene
ENSG00000073756,ENSG00000073756,False,PTGS2,NCBITaxon:9606,gene
ENSG00000150681,ENSG00000150681,False,RGS18,NCBITaxon:9606,gene
ENSG00000236069,ENSG00000236069,False,RP5-1011O1.3,NCBITaxon:9606,gene
ENSG00000090104,ENSG00000090104,False,RGS1,NCBITaxon:9606,gene
ENSG00000116741,ENSG00000116741,False,RGS2,NCBITaxon:9606,gene
ENSG00000162630,ENSG00000162630,False,B3GALT2,NCBITaxon:9606,gene
ENSG00000000971,ENSG00000000971,False,CFH,NCBITaxon:9606,gene
ENSG00000066279,ENSG00000066279,False,ASPM,NCBITaxon:9606,gene
ENSG00000118193,ENSG00000118193,False,KIF14,NCBITaxon:9606,gene
ENSG00000143851,ENSG00000143851,False,PTPN7,NCBITaxon:9606,gene
ENSG00000133067,ENSG00000133067,False,LGR6,NCBITaxon:9606,gene
ENSG00000159388,ENSG00000159388,False,BTG2,NCBITaxon:9606,gene
ENSG00000058668,ENSG00000058668,False,ATP2B4,NCBITaxon:9606,gene
ENSG00000122188,ENSG00000122188,False,LAX1,NCBITaxon:9606,gene
ENSG00000143842,ENSG00000143842,False,SOX13,NCBITaxon:9606,gene
ENSG00000133069,ENSG00000133069,False,TMCC2,NCBITaxon:9606,gene
ENSG00000117280,ENSG00000117280,False,RAB29,NCBITaxon:9606,gene
ENSG00000263961,ENSG00000263961,False,RHEX,NCBITaxon:9606,gene
ENSG00000136634,ENSG00000136634,False,IL10,NCBITaxon:9606,gene
